Order Number,Order Type,Asset Type,Fiat Type,Total Price,Price,Quantity,Couterparty,Status,Created Time
20311932865384595456,Sell,BUSD,VND,12443090.62000000,23531.00000000,528.79565780,꧁༺Vương☂Quốc☂QMai༻꧂,Completed,2022-01-05 06:36:35 UTC+0
20317820904549474304,Buy,BUSD,VND,30000000.00000000,23542.00000000,1274.31823974,⭐Lucky⭐⭐⭐⭐⭐,Completed,2022-01-21 12:33:32 UTC+0
20319247232806797312,Buy,BUSD,VND,7000000.00000000,23608.00000000,296.50965774,⭐Lucky⭐⭐⭐⭐⭐,Cancelled,2022-01-25 11:01:16 UTC+0
20319494294663356416,Buy,BUSD,VND,7000000.00000000,23524.00000000,297.56844074,kem,Completed,2022-01-26 03:23:00 UTC+0
20330355888931373056,Buy,BUSD,VND,17000000.00000000,23857.00000000,712.57911724,kem,Completed,2022-02-25 02:43:05 UTC+0
20342375238763237376,Buy,BUSD,VND,10000000.00000000,23516.00000000,425.24238816,kem,Completed,2022-03-30 06:43:42 UTC+0
20353218259230052352,Buy,BUSD,VND,10000000.00000000,23791.00000000,420.32701441,kem,Completed,2022-04-29 04:49:59 UTC+0
20364468715110227968,Buy,BUSD,VND,10000000.00000000,24084.00000000,415.21341969,kem,Completed,2022-05-30 05:55:17 UTC+0
