Order Number,Order Type,Asset Type,Fiat Type,Total Price,Price,Quantity,Couterparty,Status,Created Time
20342375238763237376,Buy,BUSD,VND,10000000.00000000,23516.00000000,425.24238816,kem,Completed,2022-03-30 06:43:42 UTC+0
20353218259230052352,Buy,BUSD,VND,10000000.00000000,23791.00000000,420.32701441,kem,Completed,2022-04-29 04:49:59 UTC+0
20364468715110227968,Buy,BUSD,VND,10000000.00000000,24084.00000000,415.21341969,kem,Completed,2022-05-30 05:55:17 UTC+0
